Code,cycles,P25_min,P50_min,P75_min
000403.SZ,14,7638.446041666666,17867.643,62220.49987083333
000404.SZ,4,4614.443795833333,7933.680083333333,18748.771708333334
000407.SZ,19,5758.0936833333335,14409.580666666667,26582.74850833333
000408.SZ,11,2943.191333333333,7186.6945166666665,53217.311408333335
000409.SZ,8,3956.4460166666668,12246.2615,26261.460004166667
000410.SZ,4,11165.91675,21470.417333333335,58839.850587500005
000411.SZ,3,5765.004666666667,10084.925833333333,36826.249075
000413.SZ,25,2624.34365,5563.884483333333,5745.600666666666
000415.SZ,37,2941.376,8605.947983333333,15838.814816666667
000416.SZ,20,1441.1803041666667,2866.399325,5736.029416666667
000417.SZ,1,257505.91316666667,257505.91316666667,257505.91316666667
000419.SZ,7,11402.784825,47429.47218333333,61263.13050833333
000420.SZ,17,5731.6123333333335,10065.149833333333,35721.729
000421.SZ,36,4322.365545833333,10079.178741666667,17107.893291666667
000422.SZ,1,2.049,2.049,2.049
000423.SZ,5,1511.1531666666667,15537.261683333334,17588.968016666666
000425.SZ,1,30543.976016666667,30543.976016666667,30543.976016666667
000426.SZ,5,4366.3525,29101.91985,32832.314333333336
000428.SZ,7,7915.045833333334,10074.228833333333,13676.304091666667
000429.SZ,5,15873.66765,37188.91785,105049.45283333333
000430.SZ,16,5382.544475,8646.433833333333,13683.4098625
000488.SZ,9,8440.28035,12943.122166666666,43194.736
000498.SZ,2,52132.70799999999,95637.39,139142.072
000501.SZ,2,12636.6465375,13709.638575,14782.6306125
000503.SZ,35,6451.766508333334,11526.701333333333,20271.3275
000504.SZ,38,2877.2236000000003,7203.876591666667,18719.191120833333
000505.SZ,3,18005.549666666666,28760.5665,29495.396675
000506.SZ,60,1440.7953375000002,4326.697,7278.03775
000507.SZ,3,9331.256566666667,10093.68165,15119.910075
000509.SZ,24,3771.8466791666665,5763.263583333333,16520.020091666665
000510.SZ,37,2886.0205,7160.293483333333,15838.8425
000513.SZ,3,143.95341666666667,271.8183333333333,10122.024325
000514.SZ,36,3956.8657083333333,9306.110175,20150.238254166667
000516.SZ,6,3277.1700458333335,14585.297758333334,32962.50172083333
000517.SZ,57,2878.6936833333334,5727.2283333333335,11500.614816666666
000518.SZ,62,1447.3549208333334,4913.519916666666,9696.820695833332
000519.SZ,10,4644.232995833334,13034.962433333334,26276.185262500003
000520.SZ,12,1067.15375,2783.247241666667,10050.596416666667
000521.SZ,2,5635.849666666667,9522.328333333333,13408.807
000523.SZ,8,5332.631375,9391.9415,16914.08205416667
000524.SZ,20,4289.961954166667,12950.685675,30428.470083333334
000525.SZ,50,2881.4386541666663,5761.072566666667,11524.406237500001
000526.SZ,25,4320.31385,11505.327833333333,15844.957666666667
000529.SZ,9,30229.14485,47546.602483333336,61897.712166666664
000530.SZ,1,11509.141,11509.141,11509.141
000531.SZ,3,5740.798583333333,5758.242833333334,6483.135833333334
000532.SZ,16,1439.6772208333332,7919.878908333334,16199.445333333333
000533.SZ,23,5025.458666666666,14414.933,25201.213991666667
000534.SZ,11,10784.112425,18695.92985,53158.45074166667
000536.SZ,81,1437.9923166666667,4319.310683333333,8616.904816666667
000537.SZ,5,21902.124516666667,40248.55151666667,70573.7485
000538.SZ,6,4865.773795833333,27355.550166666664,60692.5907875
000539.SZ,1,4335.455483333333,4335.455483333333,4335.455483333333
000541.SZ,3,10184.596166666666,15854.403833333334,16564.918250000002
000543.SZ,3,14355.9584,17200.23065,20842.327491666667
000544.SZ,2,39181.9585,75494.89483333332,111807.83116666666
